time,open,high,low,close,bbwidth,adx,candle_size,upper_wick,lower_wick,atr,macd_line,signal_line,macd_histogram
06:41:25,134.601,134.601,134.596,134.596,0.026488527804815476,43.392943364813625,0.0049999999999954525,0.0049999999999954525,0.0,0.0054898381030437805,0.0027649751728517913,0.0020048605262104066,0.0007601146466413846
06:41:30,134.596,134.596,134.59,134.592,0.02637383072993771,38.69095179528536,0.006000000000000227,0.003999999999990678,0.0020000000000095497,0.0055578596893046395,0.0023477280761881048,0.0020734340362059465,0.0002742940399821582
06:41:35,134.592,134.594,134.592,134.594,0.026065504528389738,33.9889602257571,0.001999999999981128,0.0,0.001999999999981128,0.005083478397394838,0.0021536145038396626,0.00208947012973269,6.414437410697275e-05
06:41:40,134.594,134.594,134.587,134.588,0.02593838853908892,33.82264456257519,0.007000000000005002,0.006000000000000227,0.0010000000000047748,0.005339014611076194,0.0014983561266035395,0.0019712473291068596,-0.0004728912025033201
06:41:45,134.589,134.592,134.589,134.589,0.025543358391132642,33.55062778833324,0.0030000000000143245,0.0030000000000143245,0.0,0.005160479329601915,0.00104767385241189,0.0017865326337678658,-0.0007388587813559758
06:41:50,134.589,134.591,134.589,134.591,0.024244369938003274,32.67863906129306,0.0020000000000095497,0.0,0.0020000000000095497,0.004739082085656266,0.0008421800609141883,0.0015976621191971306,-0.0007554820582829423
06:41:55,134.591,134.597,134.591,134.593,0.021453499285314592,31.60456532115691,0.006000000000000227,0.004000000000019099,0.001999999999981128,0.004907204474235462,0.0008311273175820588,0.0014443551588741164,-0.0006132278412920575
06:42:00,134.593,134.605,134.593,134.602,0.020530849701913212,31.405156465129828,0.012000000000000455,0.002999999999985903,0.009000000000014552,0.005852910544337461,0.0015309449424307786,0.001461673115585449,6.927182684532971e-05
06:42:05,134.602,134.603,134.601,134.601,0.018371602801209974,30.555225359484503,0.0020000000000095497,0.0020000000000095497,0.0,0.005339189138427073,0.001982016358567762,0.0015657417641819116,0.00041627459438585033
06:42:10,134.602,134.611,134.602,134.608,0.019719079726883137,30.772929063498403,0.00899999999998613,0.002999999999985903,0.006000000000000227,0.005960630586635584,0.002871237367116919,0.0018268408847689132,0.0010443964823480057
06:42:15,134.608,134.613,134.607,134.613,0.025043961348274024,31.073821760426984,0.006000000000000227,0.0,0.006000000000000227,0.005965879841750869,0.003934060238577786,0.002248284755530688,0.0016857754830470976
06:42:20,134.61,134.61,134.598,134.598,0.024949633475046085,27.514660819859984,0.012000000000000455,0.012000000000000455,0.0,0.007170429196182268,0.003525342428588374,0.0025036962901422255,0.0010216461384461484
06:42:25,134.6,134.603,134.595,134.595,0.024191342514313874,26.355045216356277,0.008000000000009777,0.008000000000009777,0.0,0.007281038636692603,0.002925630840394433,0.0025880832001926673,0.00033754764020176584
06:42:30,134.594,134.6,134.594,134.596,0.024044695224404222,24.164631805400283,0.006000000000000227,0.003999999999990678,0.0020000000000095497,0.0071102334851336196,0.002502202891349725,0.002570907138424079,-6.870424707435376e-05
06:42:35,134.593,134.595,134.592,134.595,0.024044695224404222,22.528640625606165,0.002999999999985903,0.0,0.002999999999985903,0.006695535687114561,0.0020621701347920407,0.0024691597376976715,-0.00040698960290563076
06:42:40,134.595,134.598,134.595,134.597,0.02402104340637834,22.477263884864033,0.0030000000000143245,0.0010000000000047748,0.0020000000000095497,0.0062027975955011964,0.0018534587712792927,0.0023460195444139956,-0.0004925607731347029
06:42:45,134.591,134.592,134.589,134.589,0.025010313662335193,24.01239090333342,0.0030000000000143245,0.0030000000000143245,0.0,0.006442424582769007,0.0010306397967667635,0.0020829435948845495,-0.001052303798117786
06:42:50,134.59,134.591,134.59,134.591,0.02547320573739853,24.037063243396638,0.0010000000000047748,0.0,0.0010000000000047748,0.005850101305067746,0.0005337800327254172,0.0017731108824527231,-0.001239330849727306
06:42:55,134.589,134.593,134.589,134.593,0.0255598369159884,22.250789319171187,0.003999999999990678,0.0,0.003999999999990678,0.005603421131057471,0.000297963636029408,0.0014780814331680602,-0.0011801177971386522
06:43:00,134.593,134.598,134.592,134.596,0.025140447594992565,20.503166203035903,0.006000000000000227,0.0020000000000095497,0.003999999999990678,0.005656298313583172,0.000349127842184771,0.0012522907149714025,-0.0009031628727866315
06:43:05,134.596,134.6,134.594,134.6,0.02541363082269754,21.38912949263933,0.006000000000000227,0.0,0.006000000000000227,0.005702125205105447,0.0007043234129184839,0.0011426972545608186,-0.00043837384164233475
06:43:10,134.599,134.6,134.595,134.6,0.025347272250485275,20.093962050117977,0.0049999999999954525,0.0,0.0049999999999954525,0.005608508511090782,0.0009745840633286207,0.0011090746163143791,-0.00013449055298575844
06:43:15,134.6,134.601,134.592,134.592,0.025572188841010757,17.997883616548343,0.00899999999998613,0.00899999999998613,0.0,0.006060707376276828,0.0005370437289116126,0.0009946684388338258,-0.00045762470992221325
06:43:20,134.593,134.601,134.593,134.601,0.02462348045037288,14.29801508890746,0.008000000000009777,0.0,0.008000000000009777,0.006452613059438068,0.0009060700340910444,0.0009769487578852696,-7.08787237942252e-05
06:43:25,134.602,134.603,134.598,134.601,0.023660760320922236,11.130229893027023,0.0049999999999954525,0.0020000000000095497,0.002999999999985903,0.006258931318179053,0.0011848676232091293,0.0010185325309500417,0.00016633509225908762
06:43:30,134.601,134.601,134.597,134.597,0.0228459371031704,10.92537392237541,0.003999999999990678,0.003999999999990678,0.0,0.005957740475753937,0.0010707076987443997,0.0010289675645089133,4.1740134235486405e-05
06:43:35,134.598,134.598,134.593,134.594,0.022682244389500283,12.010586034597111,0.005000000000023874,0.004000000000019099,0.0010000000000047748,0.005830041745656596,0.0007297481260479799,0.0009691236768167267,-0.0002393755507687468
06:43:40,134.593,134.602,134.592,134.602,0.022682244389500283,12.014318655716687,0.009999999999990905,0.0,0.009999999999990905,0.006386036179567837,0.0010924749778951082,0.000993793937032403,9.868104086270513e-05
06:43:45,134.604,134.608,134.604,134.606,0.023667877409479843,13.220539188027065,0.003999999999990678,0.0020000000000095497,0.001999999999981128,0.006334564688958821,0.0016833011441406143,0.0011316953784540453,0.000551605765686569
06:43:50,134.605,134.607,134.605,134.606,0.023029500532004477,15.929272856421742,0.0020000000000095497,0.0010000000000047748,0.0010000000000047748,0.005756622730432252,0.002127016218622657,0.0013307595464877677,0.0007962566721348894
06:43:55,134.604,134.604,134.598,134.598,0.01827393887811013,14.580563736640338,0.006000000000000227,0.006000000000000227,0.0,0.0060557396997054655,0.001812240094977824,0.0014270556561857789,0.000385184438792045
06:44:00,134.601,134.602,134.6,134.601,0.018558584338450146,13.495007777132713,0.0020000000000095497,0.0010000000000047748,0.0010000000000047748,0.005781641073076827,0.0017842845554412179,0.001498501436036867,0.00028578311940435095
06:44:05,134.601,134.601,134.592,134.594,0.018693089069586222,14.758404312850399,0.00899999999998613,0.007000000000005002,0.001999999999981128,0.006210755596664734,0.0011836437816441503,0.0014355299051583238,-0.0002518861235141735
06:44:10,134.604,134.616,134.604,134.615,0.02432758884407349,15.73092014535295,0.012000000000000455,0.0010000000000047748,0.01099999999999568,0.00831598818377874,0.0023747811380303574,0.0016233801517327306,0.0007514009862976268
06:44:15,134.615,134.615,134.611,134.614,0.027781857010836575,15.974760427236133,0.004000000000019099,0.0010000000000047748,0.0030000000000143245,0.007740523092610789,0.003201173298862159,0.0019389387811586164,0.0012622345177035425
06:44:20,134.614,134.624,134.613,134.623,0.03478112010577661,17.64024669834342,0.01099999999999568,0.0010000000000047748,0.009999999999990905,0.008175120013595442,0.004530099655084996,0.0024571709559438925,0.0020729286991411034
06:44:25,134.625,134.635,134.625,134.635,0.04472088879668945,21.663471917532654,0.009999999999990905,0.0,0.009999999999990905,0.008685104011782777,0.006476921163169891,0.003261120997389092,0.003215800165780799
06:44:30,134.635,134.636,134.631,134.636,0.05209869177087967,25.768246153287887,0.0049999999999954525,0.0,0.0049999999999954525,0.008193756810211134,0.008008169681886557,0.004210530734288585,0.0037976389475979713
06:44:35,134.641,134.648,134.638,134.645,0.061717181775804875,29.853461328008443,0.009999999999990905,0.002999999999985903,0.007000000000005002,0.008701255902183045,0.009834553339800323,0.0053353352553909324,0.00449921808440939
06:44:40,134.645,134.645,134.63,134.631,0.06397993106423883,32.329924967775845,0.01500000000001478,0.014000000000010004,0.0010000000000047748,0.00954108844856061,0.010036596908349793,0.006275587585982704,0.003761009322367089
06:44:45,134.628,134.628,134.616,134.616,0.0635679495545105,31.354353343900215,0.011999999999972033,0.011999999999972033,0.0,0.010268943322084043,0.008883934782204506,0.0067972570252270645,0.002086677756977441
06:44:50,134.616,134.616,134.614,134.616,0.06298237013169228,30.900449990391074,0.0020000000000095497,0.0,0.0020000000000095497,0.009166417545807444,0.007879610497809608,0.007013727719743574,0.0008658827780660345
06:44:55,134.617,134.617,134.612,134.612,0.06034671752320264,29.01258495271701,0.0049999999999954525,0.0049999999999954525,0.0,0.008610895206365845,0.006683862292106824,0.006947754634216224,-0.00026389234210940065
06:45:00,134.612,134.612,134.602,134.602,0.0601975694564203,28.03633036181185,0.009999999999990905,0.009999999999990905,0.0,0.008796109178849187,0.004873132361211674,0.006532830179615315,-0.0016596978184036408
06:45:05,134.602,134.608,134.6,134.607,0.05949259131261897,29.77732262077935,0.008000000000009777,0.0010000000000047748,0.007000000000005002,0.008689961288337267,0.0037977954368955125,0.005985823231071354,-0.002188027794175842
06:45:10,134.609,134.611,134.608,134.611,0.05771217147952257,30.587019226290664,0.002999999999985903,0.0,0.002999999999985903,0.008064633116557722,0.0032311035966472446,0.005434879304186533,-0.0022037757075392883
06:45:15,134.609,134.609,134.607,134.609,0.055005837011208314,29.99941292497648,0.0020000000000095497,0.0,0.0020000000000095497,0.007522682034348783,0.002590748410142396,0.004866053125377706,-0.00227530471523531
06:45:20,134.609,134.62,134.609,134.62,0.05406078450317864,28.926914593292338,0.01099999999999568,0.0,0.01099999999999568,0.00798632442976837,0.0029370143077755984,0.0044802453618572845,-0.0015432310540816861
06:45:25,134.62,134.623,134.62,134.622,0.05374834146812191,28.513259923586936,0.002999999999985903,0.0009999999999763531,0.0020000000000095497,0.007321481172464042,0.003334379164243728,0.004251072122334573,-0.0009166929580908447
06:45:30,134.622,134.624,134.621,134.622,0.053231965070892784,26.844025426601345,0.002999999999985903,0.001999999999981128,0.0010000000000047748,0.006745283682800291,0.003607706283560219,0.004122398954579702,-0.0005146926710194828
06:45:35,134.622,134.623,134.617,134.618,0.05032065600829583,23.106455640717137,0.006000000000000227,0.0049999999999954525,0.0010000000000047748,0.0066459125250936165,0.0034616496814692255,0.003990249099957607,-0.0005285994184883814
06:45:40,134.618,134.625,134.615,134.621,0.0479381180059022,19.704922189589364,0.009999999999990905,0.003999999999990678,0.006000000000000227,0.007093124188413255,0.003547085110824355,0.0039016163021309566,-0.0003545311913066016
06:45:45,134.621,134.622,134.615,134.615,0.042262338591399384,15.505802179359675,0.007000000000005002,0.007000000000005002,0.0,0.0070807076299588215,0.003094966599775262,0.0037402863616598178,-0.000645319761884556
06:45:50,134.615,134.615,134.612,134.612,0.042615045527554685,12.64539116858332,0.0030000000000143245,0.0030000000000143245,0.0,0.006536613279299556,0.002466156181185397,0.003485460325564934,-0.001019304144379537
06:45:55,134.614,134.615,134.612,134.614,0.042615045527554685,12.39878871031211,0.0030000000000143245,0.0010000000000047748,0.0020000000000095497,0.006065064842061526,0.0021049382613966827,0.0032093559127312843,-0.0011044176513346016
