time,open,high,low,close
2025-05-11 07:15:35,55.325,55.325,55.325,55.325
2025-05-11 07:15:40,55.328,55.334,55.328,55.333
2025-05-11 07:15:45,55.333,55.338,55.333,55.337
2025-05-11 07:15:50,55.337,55.338,55.336,55.337
2025-05-11 07:15:55,55.338,55.338,55.326,55.326
2025-05-11 07:16:00,55.326,55.33,55.326,55.327
2025-05-11 07:16:05,55.327,55.327,55.325,55.326
2025-05-11 07:16:10,55.325,55.325,55.321,55.321
2025-05-11 07:16:15,55.32,55.32,55.314,55.316
2025-05-11 07:16:20,55.316,55.321,55.316,55.317
2025-05-11 07:16:25,55.316,55.316,55.311,55.312
2025-05-11 07:16:30,55.312,55.317,55.312,55.317
2025-05-11 07:16:35,55.317,55.327,55.317,55.321
2025-05-11 07:16:40,55.323,55.324,55.322,55.322
2025-05-11 07:16:45,55.322,55.322,55.32,55.322
2025-05-11 07:16:50,55.322,55.325,55.319,55.319
2025-05-11 07:16:55,55.319,55.328,55.319,55.328
2025-05-11 07:17:00,55.329,55.329,55.325,55.325
2025-05-11 07:17:05,55.324,55.326,55.322,55.326
2025-05-11 07:17:10,55.329,55.329,55.327,55.327
2025-05-11 07:17:15,55.327,55.331,55.319,55.319
2025-05-11 07:17:20,55.322,55.324,55.32,55.321
2025-05-11 07:17:25,55.324,55.33,55.324,55.33
2025-05-11 07:17:30,55.33,55.331,55.324,55.325
2025-05-11 07:17:35,55.325,55.328,55.321,55.321
2025-05-11 07:17:40,55.321,55.326,55.315,55.326
2025-05-11 07:17:45,55.326,55.332,55.325,55.332
2025-05-11 07:17:50,55.332,55.343,55.332,55.341
2025-05-11 07:17:55,55.341,55.348,55.341,55.346
2025-05-11 07:18:00,55.347,55.348,55.346,55.348
2025-05-11 07:18:05,55.349,55.349,55.349,55.349
2025-05-11 07:18:10,55.349,55.352,55.349,55.351
2025-05-11 07:18:15,55.351,55.355,55.35,55.352
2025-05-11 07:18:20,55.352,55.356,55.351,55.354
2025-05-11 07:18:25,55.354,55.354,55.352,55.353
2025-05-11 07:18:30,55.353,55.356,55.353,55.353
2025-05-11 07:18:35,55.353,55.36,55.351,55.36
2025-05-11 07:18:40,55.362,55.364,55.358,55.363
2025-05-11 07:18:45,55.361,55.364,55.36,55.36
2025-05-11 07:18:50,55.36,55.361,55.353,55.353
2025-05-11 07:18:55,55.353,55.353,55.348,55.35
2025-05-11 07:19:00,55.35,55.35,55.347,55.347
2025-05-11 07:19:05,55.347,55.356,55.345,55.352
2025-05-11 07:19:10,55.352,55.352,55.349,55.351
2025-05-11 07:19:15,55.351,55.354,55.351,55.352
2025-05-11 07:19:20,55.353,55.359,55.353,55.359
2025-05-11 07:19:25,55.359,55.374,55.359,55.374
2025-05-11 07:19:30,55.374,55.377,55.374,55.376
2025-05-11 07:19:35,55.376,55.379,55.376,55.379
2025-05-11 07:19:40,55.378,55.391,55.378,55.388
2025-05-11 07:19:45,55.39,55.392,55.389,55.391
2025-05-11 07:19:50,55.391,55.396,55.391,55.394
2025-05-11 07:19:55,55.394,55.396,55.392,55.396
2025-05-11 07:20:00,55.395,55.407,55.394,55.407
2025-05-11 07:20:05,55.407,55.408,55.407,55.408
2025-05-11 07:20:10,55.408,55.408,55.405,55.405
2025-05-11 07:20:15,55.405,55.405,55.404,55.404
2025-05-11 07:20:20,55.407,55.41,55.406,55.409
2025-05-11 07:20:25,55.408,55.409,55.405,55.408
2025-05-11 07:20:30,55.408,55.416,55.408,55.414
2025-05-11 07:20:35,55.414,55.429,55.414,55.423
2025-05-11 07:20:40,55.425,55.427,55.424,55.424
2025-05-11 07:20:45,55.427,55.427,55.421,55.426
2025-05-11 07:20:50,55.426,55.437,55.426,55.437
2025-05-11 07:20:55,55.437,55.441,55.434,55.441
2025-05-11 07:21:00,55.441,55.443,55.439,55.442
2025-05-11 07:21:05,55.442,55.444,55.439,55.439
2025-05-11 07:21:10,55.439,55.447,55.439,55.447
2025-05-11 07:21:15,55.447,55.451,55.447,55.448
2025-05-11 07:21:20,55.451,55.456,55.451,55.455
2025-05-11 07:21:25,55.455,55.456,55.454,55.454
2025-05-11 07:21:30,55.454,55.458,55.452,55.453
2025-05-11 07:21:35,55.453,55.453,55.448,55.449
2025-05-11 07:21:40,55.449,55.452,55.449,55.452
2025-05-11 07:21:45,55.452,55.467,55.45,55.467
2025-05-11 07:21:50,55.467,55.468,55.464,55.465
2025-05-11 07:21:55,55.465,55.47,55.465,55.47
2025-05-11 07:22:00,55.47,55.47,55.462,55.467
2025-05-11 07:22:05,55.468,55.469,55.46,55.462
2025-05-11 07:22:10,55.462,55.474,55.462,55.474
2025-05-11 07:22:15,55.474,55.481,55.474,55.479
2025-05-11 07:22:20,55.479,55.483,55.479,55.483
2025-05-11 07:22:25,55.494,55.499,55.494,55.498
2025-05-11 07:22:30,55.498,55.513,55.498,55.513
2025-05-11 07:22:35,55.516,55.526,55.513,55.526
2025-05-11 07:22:40,55.526,55.532,55.524,55.526
2025-05-11 07:22:45,55.525,55.527,55.52,55.522
2025-05-11 07:22:50,55.521,55.524,55.521,55.521
2025-05-11 07:22:55,55.52,55.52,55.516,55.516
2025-05-11 07:23:00,55.516,55.521,55.514,55.52
2025-05-11 07:23:05,55.52,55.527,55.52,55.527
2025-05-11 07:23:10,55.529,55.531,55.524,55.524
2025-05-11 07:23:15,55.524,55.528,55.524,55.527
2025-05-11 07:23:20,55.527,55.531,55.527,55.531
2025-05-11 07:23:25,55.531,55.532,55.527,55.529
2025-05-11 07:23:30,55.529,55.529,55.516,55.516
2025-05-11 07:23:35,55.516,55.521,55.516,55.521
2025-05-11 07:23:40,55.521,55.523,55.521,55.522
2025-05-11 07:23:45,55.52,55.534,55.519,55.534
2025-05-11 07:23:50,55.534,55.534,55.532,55.534
2025-05-11 07:23:55,55.534,55.534,55.53,55.532
2025-05-11 07:24:00,55.532,55.534,55.529,55.532
2025-05-11 07:24:05,55.533,55.534,55.524,55.528
2025-05-11 07:24:10,55.532,55.538,55.53,55.536
2025-05-11 07:24:15,55.536,55.537,55.535,55.537
2025-05-11 07:24:20,55.537,55.538,55.535,55.537
2025-05-11 07:24:25,55.538,55.544,55.536,55.544
2025-05-11 07:24:30,55.544,55.547,55.544,55.547
2025-05-11 07:24:35,55.545,55.545,55.539,55.541
2025-05-11 07:24:40,55.541,55.544,55.54,55.542
2025-05-11 07:24:45,55.541,55.543,55.532,55.532
2025-05-11 07:24:50,55.532,55.541,55.531,55.541
2025-05-11 07:24:55,55.541,55.543,55.536,55.537
2025-05-11 07:25:00,55.537,55.539,55.537,55.539
2025-05-11 07:25:05,55.539,55.541,55.535,55.535
2025-05-11 07:25:10,55.535,55.542,55.535,55.542
2025-05-11 07:25:15,55.54,55.544,55.529,55.529
2025-05-11 07:25:20,55.529,55.532,55.529,55.531
2025-05-11 07:25:25,55.529,55.53,55.527,55.527
2025-05-11 07:25:30,55.527,55.53,55.527,55.527
2025-05-11 07:25:35,55.529,55.53,55.527,55.527
2025-05-11 07:25:40,55.527,55.527,55.518,55.518
2025-05-11 07:25:45,55.519,55.519,55.51,55.51
2025-05-11 07:25:50,55.51,55.516,55.51,55.514
2025-05-11 07:25:55,55.515,55.517,55.51,55.51
2025-05-11 07:26:00,55.51,55.515,55.509,55.509
2025-05-11 07:26:05,55.509,55.509,55.5,55.502
2025-05-11 07:26:10,55.501,55.501,55.497,55.498
2025-05-11 07:26:15,55.496,55.497,55.492,55.496
2025-05-11 07:26:20,55.496,55.499,55.494,55.499
2025-05-11 07:26:25,55.499,55.509,55.499,55.503
2025-05-11 07:26:30,55.503,55.511,55.503,55.509
2025-05-11 07:26:35,55.509,55.51,55.506,55.506
2025-05-11 07:26:40,55.506,55.508,55.504,55.504
2025-05-11 07:26:45,55.504,55.504,55.494,55.494
2025-05-11 07:26:50,55.49,55.491,55.487,55.49
2025-05-11 07:26:55,55.49,55.492,55.49,55.492
2025-05-11 07:27:00,55.492,55.494,55.492,55.494
2025-05-11 07:27:05,55.494,55.495,55.491,55.495
2025-05-11 07:27:10,55.495,55.495,55.489,55.489
2025-05-11 07:27:15,55.489,55.491,55.484,55.491
2025-05-11 07:27:20,55.491,55.493,55.491,55.492
2025-05-11 07:27:25,55.491,55.496,55.489,55.494
2025-05-11 07:27:30,55.488,55.488,55.484,55.488
2025-05-11 07:27:35,55.488,55.494,55.487,55.494
2025-05-11 07:27:40,55.494,55.5,55.494,55.498
2025-05-11 07:27:45,55.498,55.498,55.493,55.493
2025-05-11 07:27:50,55.493,55.5,55.493,55.5
2025-05-11 07:27:55,55.501,55.504,55.501,55.502
2025-05-11 07:28:00,55.5,55.502,55.498,55.502
2025-05-11 07:28:05,55.502,55.502,55.496,55.496
2025-05-11 07:28:10,55.492,55.495,55.492,55.493
2025-05-11 07:28:15,55.493,55.493,55.485,55.485
2025-05-11 07:28:20,55.485,55.498,55.484,55.498
2025-05-11 07:28:25,55.498,55.513,55.498,55.512
2025-05-11 07:28:30,55.512,55.515,55.507,55.507
2025-05-11 07:28:35,55.507,55.512,55.507,55.51
2025-05-11 07:28:40,55.511,55.521,55.511,55.519
2025-05-11 07:28:45,55.519,55.522,55.514,55.522
2025-05-11 07:28:50,55.522,55.522,55.518,55.518
2025-05-11 07:28:55,55.515,55.518,55.513,55.514
2025-05-11 07:29:00,55.513,55.515,55.513,55.515
2025-05-11 07:29:05,55.515,55.516,55.511,55.513
2025-05-11 07:29:10,55.514,55.519,55.506,55.506
2025-05-11 07:29:15,55.517,55.518,55.515,55.515
2025-05-11 07:29:20,55.506,55.507,55.501,55.504
2025-05-11 07:29:25,55.504,55.506,55.496,55.497
2025-05-11 07:29:30,55.495,55.498,55.493,55.498
2025-05-11 07:29:35,55.498,55.506,55.498,55.506
2025-05-11 07:29:40,55.506,55.51,55.506,55.51
2025-05-11 07:29:45,55.51,55.517,55.51,55.517
2025-05-11 07:29:50,55.519,55.521,55.516,55.516
2025-05-11 07:29:55,55.516,55.516,55.514,55.516
2025-05-11 07:30:00,55.518,55.519,55.518,55.519
2025-05-11 07:30:05,55.519,55.52,55.511,55.511
2025-05-11 07:30:10,55.511,55.512,55.507,55.512
2025-05-11 07:30:15,55.511,55.515,55.511,55.513
2025-05-11 07:30:20,55.513,55.515,55.511,55.515
2025-05-11 07:30:25,55.515,55.518,55.515,55.517
2025-05-11 07:30:30,55.517,55.522,55.517,55.521
2025-05-11 07:30:35,55.52,55.524,55.519,55.521
2025-05-11 07:30:40,55.523,55.523,55.51,55.51
2025-05-11 07:30:45,55.51,55.518,55.51,55.515
2025-05-11 07:30:50,55.515,55.516,55.513,55.514
2025-05-11 07:30:55,55.516,55.517,55.505,55.505
2025-05-11 07:31:00,55.505,55.512,55.505,55.512
2025-05-11 07:31:05,55.512,55.514,55.51,55.511
2025-05-11 07:31:10,55.511,55.515,55.504,55.515
2025-05-11 07:31:15,55.514,55.516,55.514,55.514
2025-05-11 07:31:20,55.515,55.515,55.508,55.511
2025-05-11 07:31:25,55.511,55.515,55.51,55.515
2025-05-11 07:31:30,55.515,55.522,55.515,55.522
2025-05-11 07:31:35,55.522,55.522,55.518,55.519
2025-05-11 07:31:40,55.52,55.52,55.514,55.518
2025-05-11 07:31:45,55.518,55.519,55.514,55.514
2025-05-11 07:31:50,55.514,55.518,55.512,55.517
2025-05-11 07:31:55,55.515,55.515,55.51,55.515
2025-05-11 07:32:00,55.514,55.514,55.511,55.513
2025-05-11 07:32:05,55.513,55.517,55.51,55.51
2025-05-11 07:32:10,55.51,55.512,55.51,55.51
2025-05-11 07:32:15,55.509,55.512,55.508,55.508
2025-05-11 07:32:20,55.508,55.513,55.508,55.51
2025-05-11 07:32:25,55.51,55.514,55.51,55.514
2025-05-11 07:32:30,55.514,55.519,55.513,55.518
2025-05-11 07:32:35,55.519,55.525,55.517,55.524
2025-05-11 07:32:40,55.529,55.532,55.527,55.527
2025-05-11 07:32:45,55.527,55.536,55.527,55.535
2025-05-11 07:32:50,55.535,55.537,55.533,55.537
