time,open,high,low,close
2025-05-11 07:17:55,132.065,132.066,132.061,132.061
2025-05-11 07:18:00,132.062,132.071,132.06,132.069
2025-05-11 07:18:05,132.068,132.068,132.055,132.055
2025-05-11 07:18:10,132.055,132.055,132.051,132.055
2025-05-11 07:18:15,132.055,132.056,132.048,132.048
2025-05-11 07:18:20,132.046,132.05,132.046,132.05
2025-05-11 07:18:25,132.053,132.054,132.05,132.052
2025-05-11 07:18:30,132.052,132.052,132.048,132.05
2025-05-11 07:18:35,132.05,132.05,132.046,132.046
2025-05-11 07:18:40,132.046,132.054,132.045,132.054
2025-05-11 07:18:45,132.052,132.053,132.05,132.053
2025-05-11 07:18:50,132.053,132.053,132.043,132.043
2025-05-11 07:18:55,132.043,132.053,132.042,132.053
2025-05-11 07:19:00,132.055,132.059,132.055,132.059
2025-05-11 07:19:05,132.057,132.063,132.057,132.059
2025-05-11 07:19:10,132.059,132.076,132.059,132.075
2025-05-11 07:19:15,132.075,132.076,132.074,132.074
2025-05-11 07:19:20,132.073,132.077,132.073,132.076
2025-05-11 07:19:25,132.077,132.085,132.077,132.084
2025-05-11 07:19:30,132.084,132.09,132.084,132.087
2025-05-11 07:19:35,132.087,132.093,132.086,132.093
2025-05-11 07:19:40,132.091,132.092,132.09,132.092
2025-05-11 07:19:45,132.094,132.099,132.093,132.093
2025-05-11 07:19:50,132.093,132.096,132.09,132.091
2025-05-11 07:19:55,132.091,132.095,132.091,132.094
2025-05-11 07:20:00,132.094,132.094,132.091,132.094
2025-05-11 07:20:05,132.094,132.094,132.092,132.092
2025-05-11 07:20:10,132.092,132.093,132.088,132.093
2025-05-11 07:20:15,132.093,132.095,132.093,132.095
2025-05-11 07:20:20,132.094,132.098,132.092,132.096
2025-05-11 07:20:25,132.098,132.099,132.097,132.097
2025-05-11 07:20:30,132.097,132.1,132.095,132.1
2025-05-11 07:20:35,132.1,132.1,132.087,132.089
2025-05-11 07:20:40,132.089,132.09,132.088,132.088
2025-05-11 07:20:45,132.087,132.09,132.086,132.09
2025-05-11 07:20:50,132.09,132.09,132.079,132.08
2025-05-11 07:20:55,132.08,132.081,132.077,132.081
2025-05-11 07:21:00,132.079,132.079,132.071,132.071
2025-05-11 07:21:05,132.072,132.08,132.071,132.08
2025-05-11 07:21:10,132.08,132.08,132.076,132.076
2025-05-11 07:21:15,132.076,132.076,132.065,132.065
2025-05-11 07:21:20,132.065,132.065,132.049,132.049
2025-05-11 07:21:25,132.049,132.053,132.047,132.052
2025-05-11 07:21:30,132.052,132.058,132.049,132.058
2025-05-11 07:21:35,132.058,132.068,132.057,132.068
2025-05-11 07:21:40,132.067,132.071,132.063,132.063
2025-05-11 07:21:45,132.064,132.065,132.06,132.061
2025-05-11 07:21:50,132.061,132.065,132.061,132.065
2025-05-11 07:21:55,132.065,132.067,132.064,132.067
2025-05-11 07:22:00,132.067,132.068,132.066,132.068
2025-05-11 07:22:05,132.069,132.069,132.062,132.062
2025-05-11 07:22:10,132.062,132.069,132.058,132.06
2025-05-11 07:22:15,132.06,132.06,132.056,132.059
2025-05-11 07:22:20,132.059,132.061,132.057,132.057
2025-05-11 07:22:25,132.057,132.057,132.053,132.053
2025-05-11 07:22:30,132.052,132.058,132.052,132.056
2025-05-11 07:22:35,132.056,132.056,132.048,132.049
2025-05-11 07:22:40,132.049,132.049,132.034,132.034
2025-05-11 07:22:45,132.035,132.035,132.029,132.029
2025-05-11 07:22:50,132.029,132.029,132.022,132.022
2025-05-11 07:22:55,132.022,132.025,132.017,132.017
2025-05-11 07:23:00,132.017,132.031,132.017,132.031
2025-05-11 07:23:05,132.03,132.032,132.029,132.029
2025-05-11 07:23:10,132.029,132.036,132.029,132.036
2025-05-11 07:23:15,132.038,132.042,132.033,132.042
2025-05-11 07:23:20,132.042,132.042,132.039,132.039
2025-05-11 07:23:25,132.042,132.042,132.039,132.039
2025-05-11 07:23:30,132.037,132.04,132.036,132.04
2025-05-11 07:23:35,132.04,132.043,132.04,132.041
2025-05-11 07:23:40,132.041,132.041,132.037,132.041
2025-05-11 07:23:45,132.041,132.041,132.034,132.035
2025-05-11 07:23:50,132.035,132.036,132.034,132.036
2025-05-11 07:23:55,132.036,132.037,132.034,132.037
2025-05-11 07:24:00,132.037,132.037,132.032,132.032
2025-05-11 07:24:05,132.028,132.031,132.028,132.031
2025-05-11 07:24:10,132.031,132.036,132.025,132.025
2025-05-11 07:24:15,132.026,132.029,132.026,132.026
2025-05-11 07:24:20,132.026,132.027,132.017,132.017
2025-05-11 07:24:25,132.017,132.017,132.011,132.011
2025-05-11 07:24:30,132.011,132.011,132.005,132.005
2025-05-11 07:24:35,132.005,132.007,132.002,132.002
2025-05-11 07:24:40,132.002,132.003,131.999,132
2025-05-11 07:24:45,132.002,132.005,132.001,132.005
2025-05-11 07:24:50,132.006,132.006,132.002,132.002
2025-05-11 07:24:55,131.999,131.999,131.992,131.993
2025-05-11 07:25:00,131.993,131.994,131.991,131.994
2025-05-11 07:25:05,131.994,131.994,131.989,131.989
2025-05-11 07:25:10,131.988,131.989,131.987,131.989
2025-05-11 07:25:15,131.989,131.989,131.976,131.977
2025-05-11 07:25:20,131.977,131.978,131.973,131.973
2025-05-11 07:25:25,131.974,131.976,131.97,131.974
2025-05-11 07:25:30,131.973,131.982,131.969,131.98
2025-05-11 07:25:35,131.98,131.988,131.98,131.988
2025-05-11 07:25:40,131.988,131.991,131.985,131.989
2025-05-11 07:25:45,131.989,131.989,131.986,131.987
2025-05-11 07:25:50,131.987,131.988,131.986,131.986
2025-05-11 07:25:55,131.986,131.988,131.983,131.983
2025-05-11 07:26:00,131.983,131.985,131.981,131.985
2025-05-11 07:26:05,131.985,131.992,131.985,131.992
2025-05-11 07:26:10,131.992,131.992,131.983,131.983
2025-05-11 07:26:15,131.983,131.983,131.975,131.975
2025-05-11 07:26:20,131.975,131.979,131.975,131.978
2025-05-11 07:26:25,131.978,131.981,131.977,131.978
2025-05-11 07:26:30,131.978,131.979,131.976,131.978
2025-05-11 07:26:35,131.978,131.983,131.976,131.981
2025-05-11 07:26:40,131.981,132,131.981,132
2025-05-11 07:26:45,132,132.007,132,132.007
2025-05-11 07:26:50,132.009,132.013,132.009,132.013
2025-05-11 07:26:55,132.013,132.015,132.013,132.014
2025-05-11 07:27:00,132.014,132.014,132.005,132.005
2025-05-11 07:27:05,132.005,132.009,132.005,132.009
2025-05-11 07:27:10,132.006,132.007,132.005,132.006
2025-05-11 07:27:15,132.006,132.006,132.002,132.005
2025-05-11 07:27:20,132.005,132.01,132,132
2025-05-11 07:27:25,132,132.002,131.998,132.001
2025-05-11 07:27:30,132,132.007,132,132.007
2025-05-11 07:27:35,132.007,132.007,131.999,131.999
